       ORIGIN_PORT  DESTINATION_PORT
MSO         2077.0            2077.0
MSP       112117.0          112128.0
MSY        38804.0           38802.0
MTJ         1001.0             999.0
MVY          205.0             205.0
MYR         4831.0            4830.0
OAJ         1136.0            1136.0
OAK        42316.0           42313.0
OGG        20627.0           20638.0
OKC        16144.0           16147.0
OMA        16753.0           16752.0
OME          663.0             663.0
ONT        17978.0           17979.0
ORD       285884.0          285906.0
ORF         9374.0            9375.0
ORH          663.0             668.0
OTH          275.0             275.0
OTZ          663.0             663.0
PAH          666.0             666.0
PBG          281.0             282.0
PBI        22573.0           22574.0
PDX        47085.0           47081.0
PHF         1263.0            1264.0
PHL        66021.0           66017.0
PHX       146815.0          146812.0
PIA         4664.0            4667.0
PIB          573.0             573.0
PIH          654.0             654.0
PIT        24118.0           24121.0
PLN          753.0             752.0
PNS         6534.0            6534.0
PPG          107.0             107.0
PSC         2433.0            2435.0
PSE          749.0             751.0
PSG          664.0             664.0
PSP         8987.0            8988.0
PUB          264.0             264.0
PVD        11058.0           11059.0
PWM         4681.0            4680.0
RAP         3265.0            3269.0
RDD          727.0             727.0
RDM         2152.0            2153.0
RDU        31896.0           31897.0
RHI          954.0             953.0
RIC        15355.0           15351.0
RKS          690.0             690.0
RNO        13011.0           13010.0
ROA         2282.0            2283.0
ROC         7448.0            7446.0
ROW          974.0             973.0
RST         2054.0            2054.0
RSW        27350.0           27349.0
SAF         1504.0            1502.0
SAN        70207.0           70207.0
SAT        29788.0           29784.0
SAV         7542.0            7539.0
SBA         6017.0            6017.0
SBN         4454.0            4452.0
SBP         3133.0            3132.0
SCC          855.0             855.0
SCE          911.0             915.0
SDF        10204.0           10199.0
SEA       110899.0          110907.0
SFO       148008.0          147966.0
SGF         6236.0            6237.0
SGU         1777.0            1778.0
SHV         6099.0            6100.0
SIT         1342.0            1342.0
SJC        38200.0           38204.0
SJT         1628.0            1628.0
SJU        24656.0           24653.0
SLC        97210.0           97193.0
SMF        37212.0           37212.0
SMX          664.0             663.0
SNA        37187.0           37195.0
SPI         1587.0            1586.0
SPS         1234.0            1233.0
SRQ         3370.0            3370.0
STC           83.0              82.0
STL        46963.0           46962.0
STT         4348.0            4348.0
STX          939.0             938.0
SUN          956.0             959.0
SUX          620.0             620.0
SWF          695.0             690.0
SYR         5608.0            5610.0
TLH         3194.0            3193.0
TOL          962.0             961.0
TPA        63906.0           63914.0
TRI         1928.0            1929.0
TTN         2830.0            2836.0
TUL        13970.0           13970.0
TUS        15117.0           15116.0
TVC         2756.0            2758.0
TWF          815.0             815.0
TXK          978.0             976.0
TYR         2300.0            2299.0
TYS         6963.0            6964.0
UST          155.0             155.0
VEL          206.0             205.0
VLD          935.0             935.0
VPS         4868.0            4868.0
WRG          664.0             664.0
WYS          208.0             208.0
XNA         9283.0            9284.0
YAK          662.0             662.0
YUM         1877.0            1878.0
10666          NaN               1.0
